Job Posting Date,Openings
2021-09-15,2287
2021-09-16,2100
2021-09-17,2100
2021-09-18,2100
2021-09-19,2566
2021-09-20,2100
2021-09-21,2100
2021-09-22,2368
2021-09-23,2100
2021-09-24,2397
2021-09-25,2100
2021-09-26,2142
2021-09-27,2507
2021-09-28,2100
2021-09-29,2347
2021-09-30,2432
2021-10-01,2100
2021-10-02,2100
2021-10-03,2100
2021-10-04,2100
2021-10-05,2257
2021-10-06,2382
2021-10-07,2441
2021-10-08,2862
2021-10-09,2100
2021-10-10,2830
2021-10-11,2218
2021-10-12,2739
2021-10-13,2800
2021-10-14,2361
2021-10-15,2100
2021-10-16,2766
2021-10-17,2354
2021-10-18,2219
2021-10-19,2212
2021-10-20,2410
2021-10-21,2382
2021-10-22,2392
2021-10-23,2100
2021-10-24,2938
2021-10-25,2367
2021-10-26,2504
2021-10-27,2356
2021-10-28,2636
2021-10-29,3170
2021-10-30,2235
2021-10-31,2590
2021-11-01,2576
2021-11-02,2590
2021-11-03,2386
2021-11-04,2100
2021-11-05,2165
2021-11-06,2674
2021-11-07,2805
2021-11-08,3062
2021-11-09,2491
2021-11-10,2756
2021-11-11,2371
2021-11-12,2164
2021-11-13,2100
2021-11-14,2293
2021-11-15,2521
2021-11-16,2909
2021-11-17,2668
2021-11-18,2487
2021-11-19,2721
2021-11-20,2157
2021-11-21,2921
2021-11-22,2948
2021-11-23,2746
2021-11-24,3202
2021-11-25,3167
2021-11-26,2511
2021-11-27,2167
2021-11-28,2734
2021-11-29,2455
2021-11-30,2671
2021-12-01,2926
2021-12-02,2614
2021-12-03,3031
2021-12-04,2350
2021-12-05,2760
2021-12-06,2705
2021-12-07,2803
2021-12-08,2866
2021-12-09,2370
2021-12-10,2551
2021-12-11,2815
2021-12-12,2933
2021-12-13,2637
2021-12-14,2162
2021-12-15,2411
2021-12-16,2686
2021-12-17,2638
2021-12-18,2981
2021-12-19,2658
2021-12-20,2785
2021-12-21,2583
2021-12-22,2778
2021-12-23,2945
2021-12-24,2668
2021-12-25,3083
2021-12-26,3214
2021-12-27,2795
2021-12-28,2654
2021-12-29,3142
2021-12-30,2686
2021-12-31,2656
2022-01-01,2830
2022-01-02,2825
2022-01-03,3187
2022-01-04,2987
2022-01-05,2987
2022-01-06,3114
2022-01-07,3220
2022-01-08,2780
2022-01-09,2634
2022-01-10,3096
2022-01-11,3226
2022-01-12,3033
2022-01-13,2758
2022-01-14,2487
2022-01-15,2431
2022-01-16,2700
2022-01-17,2847
2022-01-18,2954
2022-01-19,3144
2022-01-20,2744
2022-01-21,2690
2022-01-22,2814
2022-01-23,3137
2022-01-24,3234
2022-01-25,3379
2022-01-26,3204
2022-01-27,3538
2022-01-28,3333
2022-01-29,3406
2022-01-30,2813
2022-01-31,3046
2022-02-01,2816
2022-02-02,2427
2022-02-03,2979
2022-02-04,3166
2022-02-05,3164
2022-02-06,3184
2022-02-07,2838
2022-02-08,3598
2022-02-09,3421
2022-02-10,2961
2022-02-11,3081
2022-02-12,3392
2022-02-13,3344
2022-02-14,2685
2022-02-15,3119
2022-02-16,3574
2022-02-17,3175
2022-02-18,3169
2022-02-19,3097
2022-02-20,2769
2022-02-21,3529
2022-02-22,3090
2022-02-23,3317
2022-02-24,3686
2022-02-25,3189
2022-02-26,3233
2022-02-27,3873
2022-02-28,2950
2022-03-01,3159
2022-03-02,3690
2022-03-03,2760
2022-03-04,3052
2022-03-05,3479
2022-03-06,3735
2022-03-07,3195
2022-03-08,4081
2022-03-09,3020
2022-03-10,3894
2022-03-11,3471
2022-03-12,3258
2022-03-13,3048
2022-03-14,3253
2022-03-15,2852
2022-03-16,3169
2022-03-17,3141
2022-03-18,3449
2022-03-19,3755
2022-03-20,3490
2022-03-21,3525
2022-03-22,3786
2022-03-23,3721
2022-03-24,2887
2022-03-25,3178
2022-03-26,3625
2022-03-27,3757
2022-03-28,3332
2022-03-29,3656
2022-03-30,3710
2022-03-31,3769
2022-04-01,3181
2022-04-02,3749
2022-04-03,3098
2022-04-04,3907
2022-04-05,3368
2022-04-06,4075
2022-04-07,3602
2022-04-08,3800
2022-04-09,3818
2022-04-10,3909
2022-04-11,3240
2022-04-12,3183
2022-04-13,3793
2022-04-14,4014
2022-04-15,3986
2022-04-16,3049
2022-04-17,3926
2022-04-18,4054
2022-04-19,3324
2022-04-20,3601
2022-04-21,3452
2022-04-22,3792
2022-04-23,3897
2022-04-24,4068
2022-04-25,3490
2022-04-26,3376
2022-04-27,3280
2022-04-28,3667
2022-04-29,3479
2022-04-30,4032
2022-05-01,3562
2022-05-02,3994
2022-05-03,3690
2022-05-04,4041
2022-05-05,3663
2022-05-06,4075
2022-05-07,3796
2022-05-08,3327
2022-05-09,3504
2022-05-10,3313
2022-05-11,4044
2022-05-12,4031
2022-05-13,3252
2022-05-14,3764
2022-05-15,4209
2022-05-16,3336
2022-05-17,4307
2022-05-18,4025
2022-05-19,3604
2022-05-20,4033
2022-05-21,4080
2022-05-22,3941
2022-05-23,4199
2022-05-24,3579
2022-05-25,3716
2022-05-26,4128
2022-05-27,4329
2022-05-28,3938
2022-05-29,4049
2022-05-30,4366
2022-05-31,3908
2022-06-01,3963
2022-06-02,3901
2022-06-03,4133
2022-06-04,4080
2022-06-05,4308
2022-06-06,4091
2022-06-07,4070
2022-06-08,4006
2022-06-09,4350
2022-06-10,3371
2022-06-11,4280
2022-06-12,4414
2022-06-13,4334
2022-06-14,4056
2022-06-15,3397
2022-06-16,4024
2022-06-17,4055
2022-06-18,4047
2022-06-19,4225
2022-06-20,3562
2022-06-21,4323
2022-06-22,4141
2022-06-23,3925
2022-06-24,4291
2022-06-25,3971
2022-06-26,4071
2022-06-27,4346
2022-06-28,4333
2022-06-29,4328
2022-06-30,3856
2022-07-01,4054
2022-07-02,3829
2022-07-03,4141
2022-07-04,4422
2022-07-05,3909
2022-07-06,4310
2022-07-07,3788
2022-07-08,4945
2022-07-09,4313
2022-07-10,4025
2022-07-11,3944
2022-07-12,3769
2022-07-13,3920
2022-07-14,4168
2022-07-15,5245
2022-07-16,4280
2022-07-17,4151
2022-07-18,4936
